round,algorithm,seed,test_accuracy,round_train_seconds,matching_seconds,selected_clients,assignments,task_seeds,guidance_active,guidance_refreshed
139,FedPhoenixRG-Excess,1,73.0199966430664,8.65590140002314,0.0,"[54, 66, 17, 43, 53, 40, 76, 1, 4, 81]","[{""client_id"": 54, ""task_id"": 0}, {""client_id"": 66, ""task_id"": 1}, {""client_id"": 17, ""task_id"": 2}, {""client_id"": 43, ""task_id"": 3}, {""client_id"": 53, ""task_id"": 4}, {""client_id"": 40, ""task_id"": 5}, {""client_id"": 76, ""task_id"": 6}, {""client_id"": 1, ""task_id"": 7}, {""client_id"": 4, ""task_id"": 8}, {""client_id"": 81, ""task_id"": 9}]","[14000415, 14001412, 14002409, 14003406, 14004403, 14005400, 14006397, 14007394, 14008391, 14009388]",1,0
140,FedPhoenixRG-Excess,1,73.55000305175781,10.282366700004786,0.0,"[52, 51, 97, 7, 41, 61, 29, 88, 49, 26]","[{""client_id"": 52, ""task_id"": 0}, {""client_id"": 51, ""task_id"": 1}, {""client_id"": 97, ""task_id"": 2}, {""client_id"": 7, ""task_id"": 3}, {""client_id"": 41, ""task_id"": 4}, {""client_id"": 61, ""task_id"": 5}, {""client_id"": 29, ""task_id"": 6}, {""client_id"": 88, ""task_id"": 7}, {""client_id"": 49, ""task_id"": 8}, {""client_id"": 26, ""task_id"": 9}]","[14100418, 14101415, 14102412, 14103409, 14104406, 14105403, 14106400, 14107397, 14108394, 14109391]",1,1
141,FedPhoenixRG-Excess,1,73.45999908447266,9.925459499994759,0.0,"[21, 47, 20, 59, 85, 2, 99, 70, 54, 50]","[{""client_id"": 21, ""task_id"": 0}, {""client_id"": 47, ""task_id"": 1}, {""client_id"": 20, ""task_id"": 2}, {""client_id"": 59, ""task_id"": 3}, {""client_id"": 85, ""task_id"": 4}, {""client_id"": 2, ""task_id"": 5}, {""client_id"": 99, ""task_id"": 6}, {""client_id"": 70, ""task_id"": 7}, {""client_id"": 54, ""task_id"": 8}, {""client_id"": 50, ""task_id"": 9}]","[14200421, 14201418, 14202415, 14203412, 14204409, 14205406, 14206403, 14207400, 14208397, 14209394]",1,0
142,FedPhoenixRG-Excess,1,66.66999816894531,12.78298989997711,0.0,"[65, 98, 79, 6, 58, 92, 19, 37, 33, 75]","[{""client_id"": 65, ""task_id"": 0}, {""client_id"": 98, ""task_id"": 1}, {""client_id"": 79, ""task_id"": 2}, {""client_id"": 6, ""task_id"": 3}, {""client_id"": 58, ""task_id"": 4}, {""client_id"": 92, ""task_id"": 5}, {""client_id"": 19, ""task_id"": 6}, {""client_id"": 37, ""task_id"": 7}, {""client_id"": 33, ""task_id"": 8}, {""client_id"": 75, ""task_id"": 9}]","[14300424, 14301421, 14302418, 14303415, 14304412, 14305409, 14306406, 14307403, 14308400, 14309397]",1,0
143,FedPhoenixRG-Excess,1,61.18000030517578,9.207559500006028,0.0,"[44, 84, 56, 0, 69, 15, 66, 78, 42, 95]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 84, ""task_id"": 1}, {""client_id"": 56, ""task_id"": 2}, {""client_id"": 0, ""task_id"": 3}, {""client_id"": 69, ""task_id"": 4}, {""client_id"": 15, ""task_id"": 5}, {""client_id"": 66, ""task_id"": 6}, {""client_id"": 78, ""task_id"": 7}, {""client_id"": 42, ""task_id"": 8}, {""client_id"": 95, ""task_id"": 9}]","[14400427, 14401424, 14402421, 14403418, 14404415, 14405412, 14406409, 14407406, 14408403, 14409400]",1,0
144,FedPhoenixRG-Excess,1,74.83999633789062,11.333155699947383,0.0,"[36, 20, 53, 26, 80, 67, 25, 37, 39, 10]","[{""client_id"": 36, ""task_id"": 0}, {""client_id"": 20, ""task_id"": 1}, {""client_id"": 53, ""task_id"": 2}, {""client_id"": 26, ""task_id"": 3}, {""client_id"": 80, ""task_id"": 4}, {""client_id"": 67, ""task_id"": 5}, {""client_id"": 25, ""task_id"": 6}, {""client_id"": 37, ""task_id"": 7}, {""client_id"": 39, ""task_id"": 8}, {""client_id"": 10, ""task_id"": 9}]","[14500430, 14501427, 14502424, 14503421, 14504418, 14505415, 14506412, 14507409, 14508406, 14509403]",1,0
145,FedPhoenixRG-Excess,1,68.52999877929688,11.053326099994592,0.0,"[54, 62, 65, 69, 82, 46, 64, 70, 59, 11]","[{""client_id"": 54, ""task_id"": 0}, {""client_id"": 62, ""task_id"": 1}, {""client_id"": 65, ""task_id"": 2}, {""client_id"": 69, ""task_id"": 3}, {""client_id"": 82, ""task_id"": 4}, {""client_id"": 46, ""task_id"": 5}, {""client_id"": 64, ""task_id"": 6}, {""client_id"": 70, ""task_id"": 7}, {""client_id"": 59, ""task_id"": 8}, {""client_id"": 11, ""task_id"": 9}]","[14600433, 14601430, 14602427, 14603424, 14604421, 14605418, 14606415, 14607412, 14608409, 14609406]",1,0
146,FedPhoenixRG-Excess,1,67.45999908447266,9.523881300003268,0.0,"[78, 89, 64, 25, 85, 9, 57, 41, 97, 45]","[{""client_id"": 78, ""task_id"": 0}, {""client_id"": 89, ""task_id"": 1}, {""client_id"": 64, ""task_id"": 2}, {""client_id"": 25, ""task_id"": 3}, {""client_id"": 85, ""task_id"": 4}, {""client_id"": 9, ""task_id"": 5}, {""client_id"": 57, ""task_id"": 6}, {""client_id"": 41, ""task_id"": 7}, {""client_id"": 97, ""task_id"": 8}, {""client_id"": 45, ""task_id"": 9}]","[14700436, 14701433, 14702430, 14703427, 14704424, 14705421, 14706418, 14707415, 14708412, 14709409]",1,0
147,FedPhoenixRG-Excess,1,69.41000366210938,9.476679000013974,0.0,"[32, 8, 70, 41, 12, 19, 88, 20, 98, 33]","[{""client_id"": 32, ""task_id"": 0}, {""client_id"": 8, ""task_id"": 1}, {""client_id"": 70, ""task_id"": 2}, {""client_id"": 41, ""task_id"": 3}, {""client_id"": 12, ""task_id"": 4}, {""client_id"": 19, ""task_id"": 5}, {""client_id"": 88, ""task_id"": 6}, {""client_id"": 20, ""task_id"": 7}, {""client_id"": 98, ""task_id"": 8}, {""client_id"": 33, ""task_id"": 9}]","[14800439, 14801436, 14802433, 14803430, 14804427, 14805424, 14806421, 14807418, 14808415, 14809412]",1,0
148,FedPhoenixRG-Excess,1,70.97000122070312,10.673566100012977,0.0,"[50, 29, 81, 33, 44, 69, 2, 68, 93, 85]","[{""client_id"": 50, ""task_id"": 0}, {""client_id"": 29, ""task_id"": 1}, {""client_id"": 81, ""task_id"": 2}, {""client_id"": 33, ""task_id"": 3}, {""client_id"": 44, ""task_id"": 4}, {""client_id"": 69, ""task_id"": 5}, {""client_id"": 2, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 93, ""task_id"": 8}, {""client_id"": 85, ""task_id"": 9}]","[14900442, 14901439, 14902436, 14903433, 14904430, 14905427, 14906424, 14907421, 14908418, 14909415]",1,0
149,FedPhoenixRG-Excess,1,70.37000274658203,9.286870899959467,0.0,"[5, 84, 70, 73, 31, 62, 69, 13, 86, 74]","[{""client_id"": 5, ""task_id"": 0}, {""client_id"": 84, ""task_id"": 1}, {""client_id"": 70, ""task_id"": 2}, {""client_id"": 73, ""task_id"": 3}, {""client_id"": 31, ""task_id"": 4}, {""client_id"": 62, ""task_id"": 5}, {""client_id"": 69, ""task_id"": 6}, {""client_id"": 13, ""task_id"": 7}, {""client_id"": 86, ""task_id"": 8}, {""client_id"": 74, ""task_id"": 9}]","[15000445, 15001442, 15002439, 15003436, 15004433, 15005430, 15006427, 15007424, 15008421, 15009418]",1,0
150,FedPhoenixRG-Excess,1,75.70999908447266,9.518504899984691,0.0,"[69, 9, 41, 83, 76, 63, 34, 67, 36, 87]","[{""client_id"": 69, ""task_id"": 0}, {""client_id"": 9, ""task_id"": 1}, {""client_id"": 41, ""task_id"": 2}, {""client_id"": 83, ""task_id"": 3}, {""client_id"": 76, ""task_id"": 4}, {""client_id"": 63, ""task_id"": 5}, {""client_id"": 34, ""task_id"": 6}, {""client_id"": 67, ""task_id"": 7}, {""client_id"": 36, ""task_id"": 8}, {""client_id"": 87, ""task_id"": 9}]","[15100448, 15101445, 15102442, 15103439, 15104436, 15105433, 15106430, 15107427, 15108424, 15109421]",1,0
151,FedPhoenixRG-Excess,1,59.099998474121094,9.476048200041987,0.0,"[40, 77, 95, 52, 25, 38, 46, 47, 93, 88]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 77, ""task_id"": 1}, {""client_id"": 95, ""task_id"": 2}, {""client_id"": 52, ""task_id"": 3}, {""client_id"": 25, ""task_id"": 4}, {""client_id"": 38, ""task_id"": 5}, {""client_id"": 46, ""task_id"": 6}, {""client_id"": 47, ""task_id"": 7}, {""client_id"": 93, ""task_id"": 8}, {""client_id"": 88, ""task_id"": 9}]","[15200451, 15201448, 15202445, 15203442, 15204439, 15205436, 15206433, 15207430, 15208427, 15209424]",1,0
152,FedPhoenixRG-Excess,1,68.30000305175781,11.025985199958086,0.0,"[14, 22, 87, 6, 15, 36, 37, 44, 48, 38]","[{""client_id"": 14, ""task_id"": 0}, {""client_id"": 22, ""task_id"": 1}, {""client_id"": 87, ""task_id"": 2}, {""client_id"": 6, ""task_id"": 3}, {""client_id"": 15, ""task_id"": 4}, {""client_id"": 36, ""task_id"": 5}, {""client_id"": 37, ""task_id"": 6}, {""client_id"": 44, ""task_id"": 7}, {""client_id"": 48, ""task_id"": 8}, {""client_id"": 38, ""task_id"": 9}]","[15300454, 15301451, 15302448, 15303445, 15304442, 15305439, 15306436, 15307433, 15308430, 15309427]",1,0
153,FedPhoenixRG-Excess,1,74.70999908447266,10.220479399955366,0.0,"[14, 66, 74, 62, 49, 45, 18, 79, 15, 68]","[{""client_id"": 14, ""task_id"": 0}, {""client_id"": 66, ""task_id"": 1}, {""client_id"": 74, ""task_id"": 2}, {""client_id"": 62, ""task_id"": 3}, {""client_id"": 49, ""task_id"": 4}, {""client_id"": 45, ""task_id"": 5}, {""client_id"": 18, ""task_id"": 6}, {""client_id"": 79, ""task_id"": 7}, {""client_id"": 15, ""task_id"": 8}, {""client_id"": 68, ""task_id"": 9}]","[15400457, 15401454, 15402451, 15403448, 15404445, 15405442, 15406439, 15407436, 15408433, 15409430]",1,0
154,FedPhoenixRG-Excess,1,73.54000091552734,8.205217499984428,0.0,"[92, 32, 77, 87, 27, 13, 14, 47, 22, 73]","[{""client_id"": 92, ""task_id"": 0}, {""client_id"": 32, ""task_id"": 1}, {""client_id"": 77, ""task_id"": 2}, {""client_id"": 87, ""task_id"": 3}, {""client_id"": 27, ""task_id"": 4}, {""client_id"": 13, ""task_id"": 5}, {""client_id"": 14, ""task_id"": 6}, {""client_id"": 47, ""task_id"": 7}, {""client_id"": 22, ""task_id"": 8}, {""client_id"": 73, ""task_id"": 9}]","[15500460, 15501457, 15502454, 15503451, 15504448, 15505445, 15506442, 15507439, 15508436, 15509433]",1,0
155,FedPhoenixRG-Excess,1,70.5999984741211,9.89082019997295,0.0,"[60, 31, 44, 3, 84, 25, 98, 73, 52, 82]","[{""client_id"": 60, ""task_id"": 0}, {""client_id"": 31, ""task_id"": 1}, {""client_id"": 44, ""task_id"": 2}, {""client_id"": 3, ""task_id"": 3}, {""client_id"": 84, ""task_id"": 4}, {""client_id"": 25, ""task_id"": 5}, {""client_id"": 98, ""task_id"": 6}, {""client_id"": 73, ""task_id"": 7}, {""client_id"": 52, ""task_id"": 8}, {""client_id"": 82, ""task_id"": 9}]","[15600463, 15601460, 15602457, 15603454, 15604451, 15605448, 15606445, 15607442, 15608439, 15609436]",1,0
156,FedPhoenixRG-Excess,1,72.36000061035156,10.238064499979373,0.0,"[66, 38, 74, 49, 46, 45, 12, 0, 81, 23]","[{""client_id"": 66, ""task_id"": 0}, {""client_id"": 38, ""task_id"": 1}, {""client_id"": 74, ""task_id"": 2}, {""client_id"": 49, ""task_id"": 3}, {""client_id"": 46, ""task_id"": 4}, {""client_id"": 45, ""task_id"": 5}, {""client_id"": 12, ""task_id"": 6}, {""client_id"": 0, ""task_id"": 7}, {""client_id"": 81, ""task_id"": 8}, {""client_id"": 23, ""task_id"": 9}]","[15700466, 15701463, 15702460, 15703457, 15704454, 15705451, 15706448, 15707445, 15708442, 15709439]",1,0
157,FedPhoenixRG-Excess,1,65.26000213623047,11.376495600037742,0.0,"[6, 14, 56, 8, 37, 71, 68, 53, 88, 65]","[{""client_id"": 6, ""task_id"": 0}, {""client_id"": 14, ""task_id"": 1}, {""client_id"": 56, ""task_id"": 2}, {""client_id"": 8, ""task_id"": 3}, {""client_id"": 37, ""task_id"": 4}, {""client_id"": 71, ""task_id"": 5}, {""client_id"": 68, ""task_id"": 6}, {""client_id"": 53, ""task_id"": 7}, {""client_id"": 88, ""task_id"": 8}, {""client_id"": 65, ""task_id"": 9}]","[15800469, 15801466, 15802463, 15803460, 15804457, 15805454, 15806451, 15807448, 15808445, 15809442]",1,0
158,FedPhoenixRG-Excess,1,71.13999938964844,8.736740300024394,0.0,"[76, 40, 68, 38, 91, 92, 18, 11, 69, 94]","[{""client_id"": 76, ""task_id"": 0}, {""client_id"": 40, ""task_id"": 1}, {""client_id"": 68, ""task_id"": 2}, {""client_id"": 38, ""task_id"": 3}, {""client_id"": 91, ""task_id"": 4}, {""client_id"": 92, ""task_id"": 5}, {""client_id"": 18, ""task_id"": 6}, {""client_id"": 11, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 94, ""task_id"": 9}]","[15900472, 15901469, 15902466, 15903463, 15904460, 15905457, 15906454, 15907451, 15908448, 15909445]",1,0
159,FedPhoenixRG-Excess,1,69.5999984741211,9.17556370003149,0.0,"[0, 23, 91, 83, 98, 64, 90, 32, 84, 36]","[{""client_id"": 0, ""task_id"": 0}, {""client_id"": 23, ""task_id"": 1}, {""client_id"": 91, ""task_id"": 2}, {""client_id"": 83, ""task_id"": 3}, {""client_id"": 98, ""task_id"": 4}, {""client_id"": 64, ""task_id"": 5}, {""client_id"": 90, ""task_id"": 6}, {""client_id"": 32, ""task_id"": 7}, {""client_id"": 84, ""task_id"": 8}, {""client_id"": 36, ""task_id"": 9}]","[16000475, 16001472, 16002469, 16003466, 16004463, 16005460, 16006457, 16007454, 16008451, 16009448]",1,0
160,FedPhoenixRG-Excess,1,69.75,10.141156100027729,0.0,"[15, 9, 95, 71, 80, 49, 39, 81, 30, 8]","[{""client_id"": 15, ""task_id"": 0}, {""client_id"": 9, ""task_id"": 1}, {""client_id"": 95, ""task_id"": 2}, {""client_id"": 71, ""task_id"": 3}, {""client_id"": 80, ""task_id"": 4}, {""client_id"": 49, ""task_id"": 5}, {""client_id"": 39, ""task_id"": 6}, {""client_id"": 81, ""task_id"": 7}, {""client_id"": 30, ""task_id"": 8}, {""client_id"": 8, ""task_id"": 9}]","[16100478, 16101475, 16102472, 16103469, 16104466, 16105463, 16106460, 16107457, 16108454, 16109451]",1,1
161,FedPhoenixRG-Excess,1,77.16000366210938,9.341243900009431,0.0,"[29, 87, 67, 36, 35, 96, 15, 61, 24, 62]","[{""client_id"": 29, ""task_id"": 0}, {""client_id"": 87, ""task_id"": 1}, {""client_id"": 67, ""task_id"": 2}, {""client_id"": 36, ""task_id"": 3}, {""client_id"": 35, ""task_id"": 4}, {""client_id"": 96, ""task_id"": 5}, {""client_id"": 15, ""task_id"": 6}, {""client_id"": 61, ""task_id"": 7}, {""client_id"": 24, ""task_id"": 8}, {""client_id"": 62, ""task_id"": 9}]","[16200481, 16201478, 16202475, 16203472, 16204469, 16205466, 16206463, 16207460, 16208457, 16209454]",1,0
162,FedPhoenixRG-Excess,1,71.37999725341797,10.284253899997566,0.0,"[13, 58, 87, 52, 50, 60, 3, 19, 35, 0]","[{""client_id"": 13, ""task_id"": 0}, {""client_id"": 58, ""task_id"": 1}, {""client_id"": 87, ""task_id"": 2}, {""client_id"": 52, ""task_id"": 3}, {""client_id"": 50, ""task_id"": 4}, {""client_id"": 60, ""task_id"": 5}, {""client_id"": 3, ""task_id"": 6}, {""client_id"": 19, ""task_id"": 7}, {""client_id"": 35, ""task_id"": 8}, {""client_id"": 0, ""task_id"": 9}]","[16300484, 16301481, 16302478, 16303475, 16304472, 16305469, 16306466, 16307463, 16308460, 16309457]",1,0
163,FedPhoenixRG-Excess,1,69.7699966430664,9.216898200043943,0.0,"[55, 46, 66, 67, 73, 12, 51, 1, 57, 90]","[{""client_id"": 55, ""task_id"": 0}, {""client_id"": 46, ""task_id"": 1}, {""client_id"": 66, ""task_id"": 2}, {""client_id"": 67, ""task_id"": 3}, {""client_id"": 73, ""task_id"": 4}, {""client_id"": 12, ""task_id"": 5}, {""client_id"": 51, ""task_id"": 6}, {""client_id"": 1, ""task_id"": 7}, {""client_id"": 57, ""task_id"": 8}, {""client_id"": 90, ""task_id"": 9}]","[16400487, 16401484, 16402481, 16403478, 16404475, 16405472, 16406469, 16407466, 16408463, 16409460]",1,0
164,FedPhoenixRG-Excess,1,69.2300033569336,9.62369530001888,0.0,"[40, 72, 92, 86, 89, 90, 16, 98, 73, 58]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 72, ""task_id"": 1}, {""client_id"": 92, ""task_id"": 2}, {""client_id"": 86, ""task_id"": 3}, {""client_id"": 89, ""task_id"": 4}, {""client_id"": 90, ""task_id"": 5}, {""client_id"": 16, ""task_id"": 6}, {""client_id"": 98, ""task_id"": 7}, {""client_id"": 73, ""task_id"": 8}, {""client_id"": 58, ""task_id"": 9}]","[16500490, 16501487, 16502484, 16503481, 16504478, 16505475, 16506472, 16507469, 16508466, 16509463]",1,0
165,FedPhoenixRG-Excess,1,74.91999816894531,10.747676800005138,0.0,"[0, 58, 47, 44, 94, 66, 4, 7, 27, 2]","[{""client_id"": 0, ""task_id"": 0}, {""client_id"": 58, ""task_id"": 1}, {""client_id"": 47, ""task_id"": 2}, {""client_id"": 44, ""task_id"": 3}, {""client_id"": 94, ""task_id"": 4}, {""client_id"": 66, ""task_id"": 5}, {""client_id"": 4, ""task_id"": 6}, {""client_id"": 7, ""task_id"": 7}, {""client_id"": 27, ""task_id"": 8}, {""client_id"": 2, ""task_id"": 9}]","[16600493, 16601490, 16602487, 16603484, 16604481, 16605478, 16606475, 16607472, 16608469, 16609466]",1,0
166,FedPhoenixRG-Excess,1,71.68000030517578,10.926322100043762,0.0,"[58, 87, 14, 78, 40, 83, 73, 18, 52, 31]","[{""client_id"": 58, ""task_id"": 0}, {""client_id"": 87, ""task_id"": 1}, {""client_id"": 14, ""task_id"": 2}, {""client_id"": 78, ""task_id"": 3}, {""client_id"": 40, ""task_id"": 4}, {""client_id"": 83, ""task_id"": 5}, {""client_id"": 73, ""task_id"": 6}, {""client_id"": 18, ""task_id"": 7}, {""client_id"": 52, ""task_id"": 8}, {""client_id"": 31, ""task_id"": 9}]","[16700496, 16701493, 16702490, 16703487, 16704484, 16705481, 16706478, 16707475, 16708472, 16709469]",1,0
167,FedPhoenixRG-Excess,1,69.73999786376953,10.84053829999175,0.0,"[99, 22, 62, 86, 5, 20, 9, 51, 7, 54]","[{""client_id"": 99, ""task_id"": 0}, {""client_id"": 22, ""task_id"": 1}, {""client_id"": 62, ""task_id"": 2}, {""client_id"": 86, ""task_id"": 3}, {""client_id"": 5, ""task_id"": 4}, {""client_id"": 20, ""task_id"": 5}, {""client_id"": 9, ""task_id"": 6}, {""client_id"": 51, ""task_id"": 7}, {""client_id"": 7, ""task_id"": 8}, {""client_id"": 54, ""task_id"": 9}]","[16800499, 16801496, 16802493, 16803490, 16804487, 16805484, 16806481, 16807478, 16808475, 16809472]",1,0
168,FedPhoenixRG-Excess,1,68.27999877929688,9.944073199993,0.0,"[97, 37, 42, 7, 22, 5, 24, 56, 69, 12]","[{""client_id"": 97, ""task_id"": 0}, {""client_id"": 37, ""task_id"": 1}, {""client_id"": 42, ""task_id"": 2}, {""client_id"": 7, ""task_id"": 3}, {""client_id"": 22, ""task_id"": 4}, {""client_id"": 5, ""task_id"": 5}, {""client_id"": 24, ""task_id"": 6}, {""client_id"": 56, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 12, ""task_id"": 9}]","[16900502, 16901499, 16902496, 16903493, 16904490, 16905487, 16906484, 16907481, 16908478, 16909475]",1,0
169,FedPhoenixRG-Excess,1,72.0,9.27005759999156,0.0,"[96, 22, 76, 44, 59, 78, 12, 68, 94, 87]","[{""client_id"": 96, ""task_id"": 0}, {""client_id"": 22, ""task_id"": 1}, {""client_id"": 76, ""task_id"": 2}, {""client_id"": 44, ""task_id"": 3}, {""client_id"": 59, ""task_id"": 4}, {""client_id"": 78, ""task_id"": 5}, {""client_id"": 12, ""task_id"": 6}, {""client_id"": 68, ""task_id"": 7}, {""client_id"": 94, ""task_id"": 8}, {""client_id"": 87, ""task_id"": 9}]","[17000505, 17001502, 17002499, 17003496, 17004493, 17005490, 17006487, 17007484, 17008481, 17009478]",1,0
170,FedPhoenixRG-Excess,1,69.54000091552734,12.024113800027408,0.0,"[45, 7, 65, 19, 95, 16, 35, 23, 83, 88]","[{""client_id"": 45, ""task_id"": 0}, {""client_id"": 7, ""task_id"": 1}, {""client_id"": 65, ""task_id"": 2}, {""client_id"": 19, ""task_id"": 3}, {""client_id"": 95, ""task_id"": 4}, {""client_id"": 16, ""task_id"": 5}, {""client_id"": 35, ""task_id"": 6}, {""client_id"": 23, ""task_id"": 7}, {""client_id"": 83, ""task_id"": 8}, {""client_id"": 88, ""task_id"": 9}]","[17100508, 17101505, 17102502, 17103499, 17104496, 17105493, 17106490, 17107487, 17108484, 17109481]",1,0
171,FedPhoenixRG-Excess,1,69.51000213623047,9.674489400000311,0.0,"[12, 91, 4, 90, 47, 66, 33, 9, 61, 84]","[{""client_id"": 12, ""task_id"": 0}, {""client_id"": 91, ""task_id"": 1}, {""client_id"": 4, ""task_id"": 2}, {""client_id"": 90, ""task_id"": 3}, {""client_id"": 47, ""task_id"": 4}, {""client_id"": 66, ""task_id"": 5}, {""client_id"": 33, ""task_id"": 6}, {""client_id"": 9, ""task_id"": 7}, {""client_id"": 61, ""task_id"": 8}, {""client_id"": 84, ""task_id"": 9}]","[17200511, 17201508, 17202505, 17203502, 17204499, 17205496, 17206493, 17207490, 17208487, 17209484]",1,0
172,FedPhoenixRG-Excess,1,69.05999755859375,9.1910372999846,0.0,"[46, 60, 83, 2, 37, 70, 93, 29, 3, 43]","[{""client_id"": 46, ""task_id"": 0}, {""client_id"": 60, ""task_id"": 1}, {""client_id"": 83, ""task_id"": 2}, {""client_id"": 2, ""task_id"": 3}, {""client_id"": 37, ""task_id"": 4}, {""client_id"": 70, ""task_id"": 5}, {""client_id"": 93, ""task_id"": 6}, {""client_id"": 29, ""task_id"": 7}, {""client_id"": 3, ""task_id"": 8}, {""client_id"": 43, ""task_id"": 9}]","[17300514, 17301511, 17302508, 17303505, 17304502, 17305499, 17306496, 17307493, 17308490, 17309487]",1,0
173,FedPhoenixRG-Excess,1,62.150001525878906,8.316464599978644,0.0,"[27, 45, 49, 4, 31, 62, 9, 95, 69, 72]","[{""client_id"": 27, ""task_id"": 0}, {""client_id"": 45, ""task_id"": 1}, {""client_id"": 49, ""task_id"": 2}, {""client_id"": 4, ""task_id"": 3}, {""client_id"": 31, ""task_id"": 4}, {""client_id"": 62, ""task_id"": 5}, {""client_id"": 9, ""task_id"": 6}, {""client_id"": 95, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 72, ""task_id"": 9}]","[17400517, 17401514, 17402511, 17403508, 17404505, 17405502, 17406499, 17407496, 17408493, 17409490]",1,0
174,FedPhoenixRG-Excess,1,71.37000274658203,9.240164200018626,0.0,"[27, 28, 1, 92, 55, 48, 74, 7, 99, 62]","[{""client_id"": 27, ""task_id"": 0}, {""client_id"": 28, ""task_id"": 1}, {""client_id"": 1, ""task_id"": 2}, {""client_id"": 92, ""task_id"": 3}, {""client_id"": 55, ""task_id"": 4}, {""client_id"": 48, ""task_id"": 5}, {""client_id"": 74, ""task_id"": 6}, {""client_id"": 7, ""task_id"": 7}, {""client_id"": 99, ""task_id"": 8}, {""client_id"": 62, ""task_id"": 9}]","[17500520, 17501517, 17502514, 17503511, 17504508, 17505505, 17506502, 17507499, 17508496, 17509493]",1,0
175,FedPhoenixRG-Excess,1,73.31999969482422,9.761309499968775,0.0,"[24, 0, 9, 11, 31, 45, 58, 35, 69, 21]","[{""client_id"": 24, ""task_id"": 0}, {""client_id"": 0, ""task_id"": 1}, {""client_id"": 9, ""task_id"": 2}, {""client_id"": 11, ""task_id"": 3}, {""client_id"": 31, ""task_id"": 4}, {""client_id"": 45, ""task_id"": 5}, {""client_id"": 58, ""task_id"": 6}, {""client_id"": 35, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 21, ""task_id"": 9}]","[17600523, 17601520, 17602517, 17603514, 17604511, 17605508, 17606505, 17607502, 17608499, 17609496]",1,0
176,FedPhoenixRG-Excess,1,74.62999725341797,10.070923699997365,0.0,"[42, 98, 67, 21, 24, 81, 20, 75, 29, 36]","[{""client_id"": 42, ""task_id"": 0}, {""client_id"": 98, ""task_id"": 1}, {""client_id"": 67, ""task_id"": 2}, {""client_id"": 21, ""task_id"": 3}, {""client_id"": 24, ""task_id"": 4}, {""client_id"": 81, ""task_id"": 5}, {""client_id"": 20, ""task_id"": 6}, {""client_id"": 75, ""task_id"": 7}, {""client_id"": 29, ""task_id"": 8}, {""client_id"": 36, ""task_id"": 9}]","[17700526, 17701523, 17702520, 17703517, 17704514, 17705511, 17706508, 17707505, 17708502, 17709499]",1,0
177,FedPhoenixRG-Excess,1,71.44999694824219,10.768479300022591,0.0,"[49, 75, 33, 60, 42, 64, 69, 11, 47, 70]","[{""client_id"": 49, ""task_id"": 0}, {""client_id"": 75, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 60, ""task_id"": 3}, {""client_id"": 42, ""task_id"": 4}, {""client_id"": 64, ""task_id"": 5}, {""client_id"": 69, ""task_id"": 6}, {""client_id"": 11, ""task_id"": 7}, {""client_id"": 47, ""task_id"": 8}, {""client_id"": 70, ""task_id"": 9}]","[17800529, 17801526, 17802523, 17803520, 17804517, 17805514, 17806511, 17807508, 17808505, 17809502]",1,0
178,FedPhoenixRG-Excess,1,64.55000305175781,10.402030700002797,0.0,"[96, 60, 16, 70, 73, 40, 11, 24, 87, 93]","[{""client_id"": 96, ""task_id"": 0}, {""client_id"": 60, ""task_id"": 1}, {""client_id"": 16, ""task_id"": 2}, {""client_id"": 70, ""task_id"": 3}, {""client_id"": 73, ""task_id"": 4}, {""client_id"": 40, ""task_id"": 5}, {""client_id"": 11, ""task_id"": 6}, {""client_id"": 24, ""task_id"": 7}, {""client_id"": 87, ""task_id"": 8}, {""client_id"": 93, ""task_id"": 9}]","[17900532, 17901529, 17902526, 17903523, 17904520, 17905517, 17906514, 17907511, 17908508, 17909505]",1,0
179,FedPhoenixRG-Excess,1,76.12000274658203,9.733586699992884,0.0,"[37, 16, 85, 31, 69, 36, 54, 25, 32, 38]","[{""client_id"": 37, ""task_id"": 0}, {""client_id"": 16, ""task_id"": 1}, {""client_id"": 85, ""task_id"": 2}, {""client_id"": 31, ""task_id"": 3}, {""client_id"": 69, ""task_id"": 4}, {""client_id"": 36, ""task_id"": 5}, {""client_id"": 54, ""task_id"": 6}, {""client_id"": 25, ""task_id"": 7}, {""client_id"": 32, ""task_id"": 8}, {""client_id"": 38, ""task_id"": 9}]","[18000535, 18001532, 18002529, 18003526, 18004523, 18005520, 18006517, 18007514, 18008511, 18009508]",1,0
